Record_ID,Place,Zone,Police_Station,Crime_Type,Severity,Victim_Gender,Victim_Age_Group,Time_of_Crime,Day_of_Week,Month,Year,Weapon_Used,Number_of_Accused,Reported_Within_24h,Case_Status,Additional_Details,Data_Source
NGP-SYN-0001,Dharampeth,Zone II,Dharampeth,Burglary,Medium,Male,26-35,Morning (7-11 AM),Monday,April,2026,Knife/Sharp Weapon,1,Yes,Case Closed - Convicted,FIR lodged based on victim complaint; no further public details available.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0002,Ajni,Zone IV,Ajni,Theft,Low,Not Specified,18-25,Morning (7-11 AM),Monday,April,2024,None,1,No,Case Closed - Convicted,Neighbourhood watch flagged the incident; forwarded to local police station.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0003,Bajaj Nagar,Zone I,Bajaj Nagar,Chain Snatching,Medium,Male,18-25,Late Night (11 PM-4 AM),Friday,February,2025,Blunt Object,2,Yes,Chargesheet Filed,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0004,Gandhinagar,Other,Gandhinagar,Fraud,Medium,Female,26-35,Night (7-11 PM),Monday,April,2023,Knife/Sharp Weapon,2,Yes,FIR Registered - Under Investigation,Details limited in public record; case status as per station register.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0005,Beltarodi,Zone IV,Beltarodi,House Break-in,Medium,Not Specified,18-25,Late Night (11 PM-4 AM),Thursday,August,2024,None,1,No,FIR Registered - Under Investigation,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0006,Gandhinagar,Other,Gandhinagar,Fraud,Medium,Female,26-35,Night (7-11 PM),Thursday,May,2023,None,1,Yes,FIR Registered - Under Investigation,Accused fled the scene; manhunt launched by local police.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0007,Ganeshpeth,Zone VI (Gandhibagh),Ganeshpeth,Molestation,High,Female,46-60,Night (7-11 PM),Friday,March,2025,Blunt Object,1,Yes,FIR Registered - Under Investigation,FIR lodged based on victim complaint; no further public details available.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0008,Sakkardara,Zone VI (Gandhibagh),Sakkardara,Burglary,Medium,Female,46-60,Evening (3-7 PM),Tuesday,May,2024,None/Physical Force,2,Yes,FIR Registered - Under Investigation,Case linked to a series of similar incidents in the area.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0009,Gaddi Godam,Zone III,Gaddi Godam,Molestation,High,Female,18-25,Morning (7-11 AM),Tuesday,October,2023,Knife/Sharp Weapon,1,Yes,Case Closed - Acquitted,Local police confirmed the incident; identity of accused not officially disclosed.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0010,Godhni,Zone V,Godhni,Fraud,Medium,Male,26-35,Night (7-11 PM),Sunday,November,2026,None/Physical Force,1,Yes,Chargesheet Filed,Neighbourhood watch flagged the incident; forwarded to local police station.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0011,Kotwali,Zone VI (Gandhibagh),Kotwali,Theft,Low,Male,60+,Afternoon (11 AM-3 PM),Monday,January,2024,None,2,Yes,FIR Registered - Under Investigation,Case reported to local police station; investigation ongoing.,Fully Synthetic (for ML training / MVP use only - not real incidents)
NGP-SYN-0012,Pardi,Zone V,Pardi,Extortion,Medium,Male,36-45,Late Night (11 PM-4 AM),Wednesday,October,2026,Blunt Object,4,Yes,Case Closed - Acquitted,Incident logged in police records; no fatalities reported.,Fully Synthetic (for ML training / MVP use only - not real incidents)
